 "no comment"	无可奉告
to be both a farmer and a scholar	耕读
to be both mentally and physically exhaust	心力交瘁
to be brave and good at fight	骁勇善战
to be burden	背
to be bury alive as sacrifice	殉死
to be bury in a horse hide	马革裹尸
to be bury with or next to dead person	陪葬
to be bury with the dead	殉
to be busy	忙乎
to be busy rush about	奔忙
to be call	叫做	名为	唤作	唤做	称作	称做
to be call by God	蒙召
to be calm and unruffled in the midst of chaos or at a busy time	好整以暇
to be capable of	能够
to be captivate	魂牵梦绕
to be careful	小心	留心
to be carry away by one wishful think	痴心妄想
to be carsick	晕车
to be catch off guard	猝不及防
to be catch unprepared	抓瞎
to be cause by	所致
to be certain	肯定
to be chattersome	叨唠
to be cheat	受骗
to be chivalrous	行侠仗义
to be chosen	入选
to be christen	受洗命名
to be classify as	列为	属于
to be clog up	拥塞
to be close friend	义结金兰
to be close to	傍近
to be clueless	没谱
to be cocky	翘尾巴
to be collectively call	统称
to be compel	被迫
to be completely convince	诚服
to be completely drain both emotionally and physically	神劳形瘁
to be completely honest and sincere	剖肝沥胆
to be completely sell out	售罄
to be completely unrelated to one another	风马牛不相及
to be complicate by	并发
to be concern about	关心
to be conciliatory or apologetic	赔小心
to be confine within a circle draw on the gray	画地为牢
to be confuse	一头雾水
to be confuse and disorientate	找不着北
to be connect	交通	有联系
to be consider as outstand or special	数得上	数得着
to be consider to be	即为
to be constipate	结恭
to be contaminate	浸染
to be content with one lot	安分守己
to be content with poverty and strive for virtue	安贫乐道
to be content with what one be	乐天知命
to be continue	待续
to be convince	服气	相信	确信
to be corrupt	贪污
to be corrupt by evil influence	舍正从邪
to be corrupt by the way of the world	沾染世俗
to be cover with	布满
to be cramp in a corner	局促一隅
to be cripple	致残
to be critically ill	病危
to be criticize	挨批	挨头子
to be cut off from the rest of the world	与世隔绝
to be cynical	愤世嫉俗
to be date sb	谈朋友
to be dazzle	看花眼	眼花缭乱
to be dazzle and stun	目眩神迷
to be dead	不在了	没了
to be dead drunk	酣醉
to be deadlock	僵持
to be deaf and blind	眼瞎耳聋
to be decorate with lantern and colour banner	张灯结彩
to be dedicate to one work	敬业
to be deeply affect	沦浃
to be deeply concern	关切
to be deeply grieve	哀恸
to be deeply in	深陷
to be defeat	失败
to be defeat on the battlefield	败阵
to be deficient in	欠缺
to be deficient in sth	匮乏	匮缺
to be definitely able	定能
to be delight with oneself	轩轩自得
to be delirious	神志不清
to be dependent upon sb	傍人门户
to be derange	嗔狂
to be destroy	灭亡
to be determine	决意	立志
to be determine by	视乎
to be determine to	执意
to be determine to win	势在必得
to be devoid of all humanity	灭绝人性
to be difficult with sb	闹别扭
to be disappoint	不争气
to be discharge from military service	退伍
to be discontent	心存不满
to be discontent with one home	不安其室
to be discourage	气馁
to be disgust with	反感
to be disloyal	失节
to be disperse	溃
to be distract	丢魂
to be distract from one work and fail to achieve result	业荒于嬉
to be divorce	离独
to be dizzy and see star	目眩头昏
to be do	成了
to be dormant	休眠
to be draw into	卷入
to be drench with blood	鲜血淋漓
to be drown	灭顶
to be drunk and rowdy	酗讼
to be dumbfound	呆住
to be duty bind	责无旁贷
to be eager for wealth and emolument	利禄薰心
to be eager to give sth a try	跃跃欲试
to be effective	行之有效
to be effective over an extend period	长效
to be either weak or strong both have their purpose	能弱能强
to be elect	当选	膺选
to be embarrass	坐蜡
to be embarrassingly short of money	囊中羞涩
to be emotionally move	动容
to be employ	受雇	在职
to be employ at	受聘于
to be enamour of	恋慕
to be engross	沉迷
to be enlighten by direct contact with sb	亲炙
to be enrage	着恼
to be enthrall	入神
to be entirely on one side	一面倒
to be entitle	有资格
to be entrust	受托
to be equal to	匹敌
to be eradicate	绝迹
to be estrange	形同陌路
to be even	两不相欠
to be evenly match	棋逢对手
to be everywhere	无处不在
to be evident at a glance	一望而知
to be execute	伏法	伏诛
to be expect	有喜
to be expose to the sun	朝阳
to be extremely cold or painful	砭骨
to be extremely mod and polite	㧑挹
to be face with problem	面临困难
to be fair	摆平
to be faithful to one mate all one life	守一而终
to be familiar with	熟悉
to be famous far and wide	闻名遐迩
to be far from	远离
to be fascinate	入迷	痴醉	神往	着迷
to be fast asleep	沉睡
to be fastidious about phrasing, diction, or choice of word	抠字眼
to be fawningly submissive	低首下心
to be fearful	兢
to be finish	完了
to be fire up	热血沸腾
to be flood	淹水
to be fluster	心慌
to be fond of	喜	好
to be fond of eat	好吃
to be fondly attach to	依恋
to be foolish	犯傻
to be for filial	孝思不匮
to be force to grind grain as a punishment	刑舂
to be force to suffer in silence	吃哑巴亏	哑巴吃黄连,有苦说不出
to be forget	淡忘
to be frighten	吓倒	恐惧	詟
to be frighten to death	胆破
to be frugal	悭俭
to be frugal in attend to funeral rite	治丧从俭
to be frustrate as though have lose sth	惘然若失
to be full	弥满	饱足
to be full of	充斥	富于	尽是	饱含
to be full of admiration	激赏
to be full of praise	赞叹不已
to be full of remorse	自怨自艾
to be full of vigour	发扬踔厉
to be full of wit and humour	妙语横生
to be full to overflow	满溢
to be fully aware of	明知
to be furious	大发雷霆	震怒
to be generous	高抬贵手
to be generous in the extreme	磊落大方
to be get bad with each generation	一代不如一代
to be give special treatment	吃小灶
to be go for	杳如黄鹤
to be good at	善于	善能	擅长
to be good at sth	见长
to be good at understand other	善解人意
to be good at use	善用
to be good at work for one own profit	善自为谋
to be good off ...	还不如
to be good than	强似	强如
to be grateful	感恩	感激
to be gratify	欣慰
to be gravely mistake	大错特错
to be greedy in get money	贪财
to be hang	绞缢
to be happy	好气
to be hard on sb	刁难
to be hardly worth eating, but it would still be a pity to discard it	食之无味,弃之可惜
to be hardworking	懋
to be harmful	有损
to be hear impair	耳背
to be hell-bent on	死心塌地
to be hit by a gun	中枪
to be homesick	思乡
to be honest	开诚
to be honest and upright	作风正派
to be hospitalize	留医
to be hungry	饿
to be idle	游手
to be ill	抱病	痻
to be impervious to reason	不可理喻
to be imprison	坐牢	系囚
to be in	在于	处于
to be in a bad mood	闹情绪
to be in a poor light	背光
to be in a position of power	大权在握
to be in a position to	有本钱
to be in a sorry state	落花流水
to be in a state of delirium	神志昏迷
to be in a state of emergency	告急
to be in a tangle	纠缠
to be in a thunder rage	咆哮如雷
to be in arrears	欠费
to be in charge	当事
to be in charge in one own house	当家作主
to be in charge of	主抓	经管	职掌	负责
to be in charge of something specific	专管
to be in charge of the cook	掌勺
to be in command to dominate over other consideration	挂帅
to be in complete disorder	步履紊乱
to be in complete order	秩然不紊
to be in contact	相处
to be in debt	背债	负债
to be in defiance of the natural order	逆天
to be in effect	现行
to be in favour of	支持
to be in flood	泛滥
to be in harmony	叶
to be in hide	躲躲藏藏
to be in hospital	住院
to be in love	有情
to be in operation	运营
to be in overall charge	统揽	综理
to be in prison	坐班房
to be in season	当令
to be in straiten circumstance	左支右绌
to be in the majority	居多
to be in the prime of life	正当年
to be in the same class	同班
to be in the way	碍手碍脚
to be in the wrong	输理
to be in vogue	盛行
to be inattentive	旁鹜
to be indebted	承蒙
to be indebted to sb for care	承蒙关照
to be indifferent	无所谓
to be industrious and frugal	克勤克俭
to be industrious, rise early and go to bed late	起早贪黑
to be infatuated with	心荡神驰	迷恋	醉心于	陶醉
to be infectious	招人
to be inferior to	矮半截
to be infertile	不育
to be influenced	耳濡目染
to be inform of a case	接案
to be inordinately proud of one ability	恃才傲物
to be intensely proud of sth	引以为傲
to be intensify	越演越烈
to be interdependent	相依
to be interest	感兴趣
to be interest exclusively in the acquisition of estate	求田问舍
to be interview	面试
to be intimate	相好
to be intimate with prostitute and frequent brothel	狎妓冶游
to be invincible	所向无敌
to be involve in a lawsuit	涉讼
to be involve in politics	参政
to be irrelevant	不相干	挨不上
to be jealous	吃味	嫉妒
to be jealous of	妒嫉	妒忌	忌	忌妒
to be just about to	刚一	正要
to be just like	一如	好比	宛如	宛若	正象
to be just right for	恰合
to be keen on	酷爱
to be kill for a righteous cause	就义
to be kind and love one another ; bind by deep emotion	相亲相爱
to be kindred spirit	投缘
to be know as	号称
to be lack	亏缺
to be lack in human character	没人味
to be lack in moral sense	缺德
to be late	姗姗来迟
to be laugh and play	嬉笑
to be lay up in bed with illness	落炕
to be left speechless	无言以对
to be lenient	从轻	手软
to be lenient with other	宽以待人
to be like sth	有如
to be likely or possible	有边儿
to be limit to	只限于	局限于	限于
to be link together	勾连
to be literate and numerate	能写善算
to be locate at	位居	位于	地处
to be look aft in life and give a proper burial thereafter	养生送死
to be look for one tooth all over the floor	满地找牙
to be lose	沦丧
to be low than	低于
to be loyal	讲义气
to be loyal to	忠于
to be made a scapegoat	背黑锅
to be made to stand still as a punishment	罚站
to be madly in love	爱得死去活来
to be manifest for everyone to see	炳然
to be masturbate by a prostitute	敲小背
to be meddlesome	好事
to be mindful	留意
to be miss	失踪
to be mistreat	受气
to be more of a hindrance than a help	帮倒忙
to be more scare than hurt	有惊无险
to be moth-eaten	蠹蛀
to be move	动心
to be muddle in the brain ; fig. excite and unable to act rationally	冲昏头脑
to be murder	遇害
to be name	号曰
to be narrowly partisan	党同伐异
to be neither too familiar nor too distant	不即不离
to be next to	就着
to be not less than	不下
to be not worth mention	不足为道
to be nothing difficult	不在话下
to be nothing to write home about	乏善可陈
to be obsess	鬼迷心窍
to be obsessive	执迷
to be obstruct	不通
to be occupy with	忙着
to be occupy with sth	有事
to be of humble origin	家世寒微
to be of no interest to anyone	无人问津
to be of one mind	一条心	齐心
to be of service to other	与人为善
to be of use	顶用
to be of vital interest	利害攸关
to be off in another world	恍神
to be off the beat	走板
to be off-key or out of tune	跑调
to be officially wed	明媒正娶
to be officious	越帮越忙
to be on an equal foot	平起平坐
to be on call	待命
to be on duty	执勤	当值
to be on foot	徒步
to be on friendly term	邻睦
to be on good term	要好
to be on guard	警觉	防范
to be on intimate term with sb	腹背相亲
to be on night duty	上夜
to be on one own	落单
to be on sick leave	病休
to be on tenterhook	惴惴不安
to be on the alert	留心眼儿	警惕
to be on the brink of	几近
to be on the high side	偏高
to be on the horn of a dilemma	介于两难
to be on the lookout	望风
to be on the low side	偏低
to be on the move	流转
to be on the regular payroll	在编
to be on the verge of eruption	喷薄欲出
to be on the verge of say what be on one mind	话到嘴边
to be on the verge of tear	眼圈红了
to be on the wait list	备取
to be one old self	依然故我
to be oneself	做自己
to be optimize away	被优化掉
to be orient towards	导向
to be orphan of one father	丧父	失怙
to be out of  office	在野
to be out of form	不在状态
to be out of practice	荒疏
to be out of the question	谈不上
to be outrage by an injustice	抱不平
to be overcome by the heat	热昏
to be overdue	逾期	过期
to be overflow with tear	眼泪横流
to be overgrow with weed	芜秽
to be overwhelm by emotion	心潮澎湃
to be paralyse	陷于瘫痪
to be part by death	死别
to be partial	偏倚
to be partial towards sth	偏爱
to be particularly attentive to	献殷勤
to be patient	耐心
to be penniless	一文不名
to be perch high	雄踞
to be perverse and suggestive towards the opposite sex, but shrink back when provoke to act on it	有色无胆
to be pester beyond endurance	不胜其烦
to be picky	挑三拣四	择食
to be picky about food	挑食
to be place in a coffin	就木
to be plague with misfortune	多灾多难
to be playful	好玩
to be please beyond one expectation	喜出望外
to be poison	中毒
to be popular	吃得开	走红
to be popular for a while	风行一时
to be possess	中邪	中魔
to be praise by everyone	众口皆碑
to be precisely the same	如出一辙
to be predestine	命定
to be pregnant	孕育	身怀六甲
to be preoccupy	魂不守舍
to be prepare for accident	以备不测
to be present	在场	在座
to be present at a meet	莅会
to be present during childbirth	陪产
to be proficient in	精通
to be proficient in the area of	精于此道
to be promiscuous	乱搞男女关系
to be promote and gain wealth	升官发财
to be promote to	升任
to be prompt by a sudden impulse	心血来潮
to be proud of oneself	自高
to be publish	问世	面世
to be punish	获刑
to be punish for a crime	抵罪
to be purely	纯属
to be push 30	奔三
to be push 40	奔四
to be put in charge of	分管
to be put on the spot	下不来台
to be put to a lot of trouble	受累
to be puzzle	费解
to be qualify	适格
to be quick-witted	灵动
to be quite an ordeal	够受的
to be rampant	猖獗
to be ready	就绪	准备好了
to be ready to go to war	不惜一战
to be really busy	忙活
to be really frighten	吓坏
to be reborn	再生	往生	复生
to be rebuke	挨克
to be red and swell	又红又肿
to be refuse entrance	吃闭门羹
to be reimburse for actual expense	实报实销
to be reincarnate	投胎
to be relate	连带
to be release from prison	出狱
to be release on bail	取保释放
to be reluctant to give up a post	恋栈
to be renowned	享誉
to be respect in life and lament in death	生荣死哀
to be responsible for	负有
to be restless	坐卧不宁
to be rich in	饶富
to be ridiculous	贻笑
to be right next to	紧靠
to be root to	植根于
to be rude	唐突
to be satisfactory	称意
to be save	得救
to be save from	免于
to be scare out of one wit	吓破胆	心胆俱裂	破胆寒心
to be scare senseless	吓疯
to be scare stiff	破胆
to be screw	死定
to be seat	坐定
to be secretive; to try to cover up	遮遮掩掩
to be secretly delight	窃喜
to be secretly in love with	暗恋
to be self-interested	势利眼
to be sell out	卖光了	卖完
to be sentimentally attach to sb or sth	绸缪
to be separate	睽隔
to be separate  for a period of time	睽违
to be set in one way	狂奴故态
to be severe with oneself and lenient with other	严以责己宽以待人
to be shade or conceal by foliage	荫蔽
to be shame	蒙羞
to be shameless	赖脸
to be shatter	破灭
to be shock	惊骇
to be shock to learn	惊悉
to be short of sth	穷匮
to be short of the full amount	短少
to be short-sighted	目光短浅
to be shoulder to shoulder	比肩
to be situated	坐落	座落
to be situated at	处在
to be skilful with one hand	手巧
to be sleepless all night	彻夜不眠
to be smite with sb	花痴
to be so in pain as to not want to live	痛不欲生
to be so thirsty as to no long be able to tolerate it	渴不可耐
to be softhearted	心软
to be sorry	不过意	抱歉
to be spat on in the face and let it dry by itself, not wipe it off ; to turn the other cheek	唾面自干
to be speechless	咋舌
to be startle	吃惊
to be station	屯驻
to be still angry	余怒未息
to be strand	搁浅
to be strict	严把
to be strict with oneself	严以律己	严于律己
to be strictly just and impartial	守正不阿
to be strongly attach to	执着
to be strongly determine to succeed	发愤图强
to be struck by an arrow and fall from one horse	中箭落马
to be stuff to the gill	尽饱
to be stupid	愚
to be successful in business	事业有成
to be successful in every endeavour	无往不利
to be successful in one study	学业有成
to be suffuse with white	泛白
to be suitable or appropriate	相宜
to be surprise	讶异	诧	惊诧
to be suspect of	疑涉
to be suspect of bribery	涉贿
to be suspect to be	疑似
to be suspicious	心存怀疑
to be suspicious and jealous of	猜忌
to be sweep by the wind	披靡
to be taint with unhealthy habit	沾染习气
to be take aback	跌眼镜
to be take advantage of	吃亏上当
to be take prisoner	就擒
to be talented yet self-effacing	锋芒内敛
to be temper into a steel	百炼成钢
to be the first to begin a quarrel	迿
to be the meat on sb's chop block	人为刀俎,我为鱼肉
to be the mirror image of sth	对映
to be the right person for the job	人位相宜
to be the target of an attack	挨整
to be thoroughly discredit	名誉扫地
to be thrill	乐歪
to be thunder	响雷
to be ticklish	怕痒
to be tire of live	活得不耐烦
to be together constantly	双进双出
to be together from the first beat	一拍即合
to be tolerant	包荒
to be too casual or informal	大不列蹀
to be too embarrass for word	羞口难开
to be too embarrass to mention sth	难以启齿
to be too petty or insignificant to mention	卑卑不足道
to be too shy to speak one mind	羞于启齿
to be total stranger	素不相识
to be totally devote	掏心掏肺
to be totally disperse	散尽
to be totally oblivious	浑然不知
to be touch by a scene	见景生情
to be transfer to another post	调职
to be transform	幻化
to be transport to a distant place for penal servitude	充车
to be trap	身陷
to be treasure	可贵
to be trouble	张心
to be trust both at home and abroad	信孚中外
to be unable	无由
to be unable to bear	经不住
to be unable to bear or support	吃不住
to be unable to breathe	喘不过气来
to be unable to breathe easily	喘不过
to be unable to carry	拿不动
to be unable to carry on even for a single day	不可终日
to be unable to continue	断港绝潢
to be unable to continue live	过不下
to be unable to do without one cell phone	机不离手
to be unable to endure	不支
to be unable to express oneself clearly	拙于言词
to be unable to extricate oneself gracefully	下不了台
to be unable to find	找不着
to be unable to find a place to stay	托足无门
to be unable to find a solution	一筹莫展
to be unable to get in	不得其门而入
to be unable to guess or make out	猜不透
to be unable to hold back	按捺不住
to be unable to intervene	插不上手
to be unable to keep a straight face	抹不下脸
to be unable to make any sense of the matt	摸不着头脑
to be unable to move a single step	动弹不得
to be unable to pay	支付不起
to be unable to reach	够不着
to be unable to reach one aim	轗
to be unable to say or tell	说不上
to be unable to sleep at night	夜不成眠
to be unable to stand	禁不起
to be unable to tolerate or endure	吃不消
to be unable to withstand a single blow	不堪一击
to be unaccustomed to certain food	吃不来
to be unavoidable	在所难免
to be unconventional	特立独行
to be underwhelmed	不敢恭维
to be unduly humble	妄自菲薄
to be ungenerous	有失厚道
to be ungrateful	忘恩
to be unite in action	步调一致
to be unlucky	命薄
to be unsalaried	无禄
to be unsure about a matt	吃不准
to be unwilling to pass on one responsibility to other	当仁不让
to be unworthy to associate with	高攀不上
to be up to one ear in work	分身乏术
to be upset	不是滋味
to be upset or disturb	耄思
to be use for	用来
to be use to the sight of	看惯
to be use up	丧失殆尽
to be utterly defeat	败绩
to be verse in	谙
to be very clear about sth	一清二楚
to be very close	交情匪浅
to be very slow	磨唧
to be vex or annoy	闹心
to be warlike	好斗
to be watch closely	动见观瞻
to be wean	离乳
to be wear out	淄蠹
to be weary of	厌倦	斁
to be well acquaint with	熟知	熟识
to be well aware	心知肚明
to be well aware of sth	了然于胸
to be well match	般配
to be well-informed	消息灵通
to be well-mannered	知礼
to be wide open	洞开
to be widely know as	著称
to be wild with joy	欣喜若狂
to be will	心甘
to be will to	甘心	甘于
to be will to do sth	乐意
to be will to part with sth	舍得
to be will to sacrifice everything one have	砸锅卖铁
to be windy	刮风
to be with	同在
to be without a fix residence	居无定所
to be without food or clothe	没吃没穿
to be witness	证婚
to be witness to	见证
to be worry	忧愁	烦恼
to be worth	值得
to be worth mention	值得一提
to be worth reading a hundred time	百读不厌
to be worthy of	不愧
to be wounded	挂花	负伤
to be wrong	蒙冤
to beam with joy	喜冲冲	展眉
to bear	忍	忍受	承	承受	承当	搁	消受	生育	产下	结出	肩起	背负	负	钻洞
to bear a close resemblance to	逼肖
to bear a grudge against	惌
to bear a hole	穿凿	钻孔
to bear and raise child	生儿育女
to bear fruit	坐果	结实	结果
to bear grudge	记恨
to bear hardship	吃苦
to bear hardship and work hard ; assiduous and long-suffering	刻苦耐劳
to bear humiliation to save one skin	忍垢偷生	忍辱偷生
to bear in mind	服膺
to bear joint responsibility for sth	连带责任
to bear one own responsibility and not pass them to other	非异人任
to bear part of the cost	摊钱
to bear patiently	隐忍
to bear responsibility for sth	仔肩
to bear seed	结子
to bear shame and humiliation	含垢忍辱
to bear the brunt	首当其冲
to bear the burden of a household ; encumber by a family	拉家带口
to bear the weight	承载
to bear witness	作证
to beat	㪃	打	拷	捶打	捶击	搷	擂	击打	考	榜笞	赢
to beat  up	揍扁
to beat a dog and bully its owner	打狗欺主
to beat a drown dog	打落水狗
to beat a drum	打鼓
to beat a gong	敲锣	鸣金	鸣锣
to beat a gong; fig. to irritate sb	敲打锣鼓
to beat a prisoner	拷打
to beat a tiger from the front door, only to have a wolf come in at the back ; fig. face one problem aft another	前门打虎,后门打狼	前门拒虎,后门进狼
to beat against the shore	拍岸
to beat and scold	打骂
to beat back	打退	击退
to beat comfortably	稳胜
to beat down the price	杀价
to beat easily	轻取
to beat milk	打奶
to beat one chest	捶胸
to beat one chest and stamp one foot	捶胸顿足
to beat rhythmically	搏动
to beat sb	敲打
to beat sb soundly	痛打
to beat somebody at their own game	将计就计
to beat the breast	擗
to beat the drum and sound the gong ; fig. to order an advance or retreat	擂鼓鸣金	击鼓鸣金
to beat the gong to clear the way	鸣锣开道
to beat the gong to open a performance	开锣
to beat the gong to recall troop ; to order a retreat	鸣金收兵	鸣金收军
to beat the return drum	打退堂鼓
to beat time	打拍	打拍子
to beat time by slap one thigh	搏髀
to beat time with a percussion instrument made of pottery	击缶
to beat to death	揍死
to beat up	揍	殴	殴打
to beat with a bamboo whip	笞棰
to beat with the fist	捶
to become	成为	变得
to become Emperor by the grace of Heaven	受命于天
to become a Buddha	成佛
to become a Buddha on the spot ; instant rehabilitation	立地成佛
to become a cadre	转干
to become a concubine	做小
to become a member	加入
to become a member of an alliance or union	加盟
to become a mere formality	流于形式
to become accustom to sth through long practice	习以成俗
to become adopt as heir	出继
to become agitate	发慌
to become airsick	晕机
to become alienate	疏离
to become an arhat	入圣
to become an immortal	仙去
to become an unlawful ruler	篡立
to become aware	发觉
to become bogged down in the detail	有枝有叶
to become brittle	发脆
to become bruised	瘀伤
to become cancerous	癌变
to become catch up in an irresolvable situation	难分难解
to become civilize	开化
to become cool	降温
to become damage	破损
to become demoralize	丧志
to become devaluated	贬值
to become drunk	酒醉
to become enemy	交恶
to become enemy ; to fall out with sb	反目成仇
to become engage	许婚
to become enlighten	开悟
to become excite	犯劲
to become excite with	迷上
to become exhaust	累坏
to become exhilarate ; in high spirit	兴致勃勃
to become famous	扬名
to become fashionable	风行
to become forget	遗忘
to become hot	升温
to become immortal	成仙	登仙
to become inflame	发炎
to become intoxicate	沉醉
to become invalid	作废
to become know far and wide	名扬四海
to become lose in a fog ; fig. at a complete loss	堕云雾中
to become mildew and worm-eaten	霉蠹
to become moist again	回潮
to become more and more	渐趋
to become more glorious with each pass day	与日同辉
to become more resolute with the pass of time	历久弥坚
to become more urgent	加急
to become mouldy	发霉
to become naked	裸裎
to become naturalize	入籍
to become neighbour	搭街坊
to become numb	箍麻
to become popular overnight	一夜爆红
to become pregnant	受孕	受胎	怀胎
to become reconcile	和好	言归于好
to become relate by marriage	做亲
to become revisionist	变修
to become rich	发财致富	致富
to become rich by one own effort	勤劳致富
to become rigid	僵化
to become seasick	晕船
to become second nature	成性
to become shape	成型
to become spirited	来神
to become suddenly popular	窜红
to become swear brother or sister	结拜
to become taint with the smell of sth else	串味
to become visible	现形	显露
to become watery	澥
to become well-known	打响名号
to befall	临到	临头
to beg	乞	乞求	乞讨	恳求	求乞	行乞	要饭
to beg for  food	打斋
to beg for a loan	乞贷
to beg for alms	丐
to beg for food	乞食	化斋	讨吃	讨米
to beg for forgiveness	求情告饶
to beg for mercy	告饶	讨饶
to beg for pity	乞怜
to beg forgiveness	乞恕	求饶
to beg piteously	哀告
to beg to differ	不敢苟同
to beg while play the xiao 箫	吴市吹箫	吹箫乞食
to begin	俶	入手	创	始	兴办	开场	开始
to begin a  court session	开庭
to begin a lecture	开讲
to begin an undertake	创业
to begin shoot	开拍
to begin to stir	蠢蠢欲动
to begin to take shape	有眉目
to begin work	开工
to beguile	謆
to beguile with false story	訹
to behave informally as equal	抗礼
to behave like a thief	贼头贼脑
to behave oneself	守规矩
to behave recklessly	恣行无忌
to behave unscrupulously	恣意妄为
to behead	斩	斩杀	斩首	枭首	殊死	杀头
to behead sb and display the head in public	枭首示众
to belch	饱嗝儿
to believe	以为	派定	置信	自认	认为
to believe firmly	坚信	深信	笃信
to believe firmly without any doubt	深信不疑
to believe in	信仰
to believe in Buddhism	信佛
to believe in the rain on hear the wind	听风就是雨
to believe oneself infallible	自以为是
to believe what one sees, not what one hear . Don't believe what people tell you until you see if for yourself.	眼见为实,耳听为虚
to belittle	小视	往泥里踩	看轻	蔑	贬低	贬抑
to bellow	怒吼
to belong or be dedicate exclusively to	专属
to belong to	归属	归于	隶属
to bemoan the state of the universe and pity the fate of mankind	悲天悯人
to bend	哈腰	弯	弯折	弯曲	戾	抈	掰弯	挠曲	诎
to bend an ear	侧耳
to bend at the waist	屈体	折腰
to bend forward	探身子
to bend in two so as to break	拗
to bend iron	锩
to bend one head	俯首
to bend over	猫腰
to bend over one desk	伏案
to bend the body at the waist	弓身
to bend the chimney and remove the firewood	曲突徙薪
to bend the law in order to favour one relative or associate	徇私枉法
to bend the wrist	捥
to bend to a task and spare no effort ; strive to the utmost	鞠躬尽力	鞠躬尽瘁
to bend to a task and spare no effort unto one die day ; strive to the utmost one whole life	鞠躬尽瘁,死而后已
to bend with the wind	随风倒
to benefit	受惠	受益匪浅	裨	造福
to benefit both the country and the people	利国利民
to benefit from	受益
to benefit other	利他
to benefit the community	造福社群
to benefit the people	惠民
to benefit the stomach and increase fluids	益胃生津
to benefit thousand of people	造福万民
to bequeath	留传	遗赠
to berate	呵斥	呵禁	喝斥	嗔诟
to besiege	围困	围击	围攻	攻城
to besiege and strike the relief force ; strategy of surround a unit to entice the enemy to reinforce, then strike the new troop	围城打援
to besiege 魏[Wei4] and rescue 趙|赵[Zhao4]	围魏救赵
to bestir oneself	振作
to bestow	贶	赉	赐给	赏	赏赐
to bestow a prise or reward	颁赏
to bestow a surname	赐姓
to bet	打赌	押注	赌
to betray	叛	叛卖	叛离	背叛
to betray anger ; fury write across one face	怒形于色
to betray one party	叛党
to betroth a girl	许配
to bewail	悲叹
to bewail one poverty	哭穷
to bewilder	荧惑	迷
to bewitch	迷魂
to bicker	抬杠	拌嘴
to bicker at length over a trivial matt	斤斤较量
to bid	出价	叫牌	投标
to bid competitively	竞购
to bid farewell	诀别
to bide one time, wait for an opportunity to stage a comeback in public life	遵时养晦
to bill	开单
to bill and coo	卿卿我我
to bind	捆绑	束	束缚	牵绊	粘合	约制	绑扎	缚	缳	联结	裹	黏合
to bind a person upper body, with arm tie behind the back and rope loop around the neck	五花大绑
to bind forward	蹿跳
to bind one hair	束发
to bind oneself	束身
to bind oneself hand and foot	自缚手脚
to bind over	具结
to bind tightly	摽
to bind up and take to the market ; to take a prisoner to the town center for execution	绑赴市曹
to bite	咬	噬咬	齰
to bite off more than one can chew	好高骛远	贪多嚼不烂
to bite the hand that feed one	恩将仇报
to bite the tooth tightly ; fig. to grit one tooth and bear the pain	咬紧牙关
to bite word and chew character ; punctilious about minutia of word	咬文嚼字
to blab	口无遮拦
to blacken	涅
to blackmail	勒索	讹人
to blame	切责	嗔怪	埋	怨	怪罪	斥	责备	责怪	质难
to blame oneself	自谴	自责
to blame sb	归罪
to blame sb wrongly	错怪
to blame the heaven and reproach the earth	埋天怨地
to blame unscrupulously	横加指责
to blanch	氽烫	焯
to blaspheme	亵渎	亵渎神明	亵黩
to blaze	燚
to blaze a new trail ; to display originality	独辟蹊径
to bleach	漂	漂白
to bleach and dye	漂染
to bleat	芈
to bleed	出血	流血
to bleed from the nose	流鼻血	衄
to blend	交融	揉合	燮	融会	调匀	调配
to blend colour	调色
to blend into	融入
to blend into one another	浑然一体
to blend two or more medicine	配伍
to blend various type of wine	勾兑
to bless	呵护	庇佑	庇祐	祄	赞颂	赐福
to bless and protect	保佑	保祐
to blind	眯
to blindly follow suit	亦步亦趋
to blink	斩眼	眨	眨巴	眨眼	霎眼
to block	力阻	卡	堵死	拦阻	楦	阏	阻塞	阻断	阻绝	障	雍阏
to block one ear and not listen ; to turn a deaf ear	充耳不闻
to block reinforcement	阻援
to block sb's path	拦	拦路
to block up	堵住
to blockade	围堵	封锁
to bloom	开放	开花
to bloom abundantly	开满
to blossom	绽放	着花
to blossom everywhere	遍地开花
to blot out at one stroke	一笔抹杀
to blot out one conscience	瞒心昧己
to blow	吹	刮	飕	龡
to blow a brass instrument	吹号
to blow a kiss	飞吻
to blow a whistle	吹哨
to blow air	吹气
to blow apart the hair upon a fur to discover any defect ; fig. to be fastidious	吹毛求疵
to blow away dust	吹灰
to blow cold	吹冷风
to blow one brain out	脑袋开花
to blow one nose	擤	擤鼻涕
to blow one own horn	自我吹嘘
to blow one own trumpet	自吹自擂
to blow one top	抓狂
to blow or breathe upon to smile	欨
to blow out	吹熄	打爆
to blow out the lamp and put out the candle	吹灯拔蜡
to blow up	吹胀	炸垮	炸毁	爆破
to blow-dry	吹干
to bludgeon	打棍子
to bluff	诈唬
to blunder	失策
to blurt out	嚷	脱口	脱口而出	说漏嘴
to blurt out without think	冲口而出
to blurt sth out	信口
to blush	泛红	红晕	红潮	红脸	羞红	脸红	飞红
to blush in shame	愧赧
to blush with shame	汗颜	羞脸
to board a plane	登机
to board a ship	登轮
to board at school	住校
